activity_identifier,org_ref,org_name,org_type,role,activity_id,crs_channel_code
US-GOV-1-7200AA24GR00002,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA24GR00002,XM-DAC-63000,Enterprise - Non United States Unknown,70,4,,
US-GOV-1-7200AA24P00041,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA24P00041,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA24P00041,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA24P00041,XM-DAC-61000,NEW YORK SLOGAN COMPANY LLC,70,4,,
US-GOV-1-7200AA25N00002,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA25N00002,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA25N00002,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA25N00002,,"ECODIT, Inc.",70,4,,
US-GOV-1-720201350267,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350267,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350267,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350267,US-GOV-10,U.S. Government - Peace Corps,10,4,,
US-GOV-1-720201350269,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350269,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350269,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350269,,U.S. Government - Department of the Army,10,4,,
US-GOV-1-720201350402,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350402,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350402,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350402,,Management Systems International,70,4,,
US-GOV-1-720201350403,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350403,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350403,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350403,,Management Systems International,70,4,,
US-GOV-1-720201350429,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350429,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350429,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350429,,National Academy of Sciences,22,4,,
US-GOV-1-720201350435,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350435,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350435,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350435,US-EIN-52-2145827,"Chemonics International, Inc.",70,4,,
US-GOV-1-720201350588,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201350588,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201350588,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201350588,,"Synergos Institute, Inc.",22,4,,
US-GOV-1-720201351534,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201351534,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201351534,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201351534,US-GOV-2,U.S. Government - Department of Agriculture,10,4,,
US-GOV-1-720201450429,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201450429,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201450429,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201450429,,National Academy of Sciences,22,4,,
