organisation_identifier,budget_kind,budget_status,period_start,period_end,value,currency,value_date,recipient_org_ref,recipient_org_type,recipient_org_name,recipient_country_code,recipient_region_code,recipient_region_vocabulary
44002,recipient-country-budget,1,2024-01-01,2024-12-31,43004292,USD,2024-01-01,,,,GW,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,43864378,USD,2025-01-01,,,,GW,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,44741666,USD,2026-01-01,,,,GW,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,45636499,USD,2027-01-01,,,,GW,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,57783078,USD,2024-01-01,,,,GY,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,58938740,USD,2025-01-01,,,,GY,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,60117514,USD,2026-01-01,,,,GY,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,61319865,USD,2027-01-01,,,,GY,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,95813251,USD,2024-01-01,,,,HN,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,97729516,USD,2025-01-01,,,,HN,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,99684106,USD,2026-01-01,,,,HN,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,101677788,USD,2027-01-01,,,,HN,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,137685471,USD,2024-01-01,,,,HT,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,140439181,USD,2025-01-01,,,,HT,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,143247964,USD,2026-01-01,,,,HT,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,146112923,USD,2027-01-01,,,,HT,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1620693366,USD,2024-01-01,,,,KE,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1653107233,USD,2025-01-01,,,,KE,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1686169378,USD,2026-01-01,,,,KE,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,1719892765,USD,2027-01-01,,,,KE,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,206886234,USD,2024-01-01,,,,KG,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,211023959,USD,2025-01-01,,,,KG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,215244438,USD,2026-01-01,,,,KG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,219549327,USD,2027-01-01,,,,KG,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,401587169,USD,2024-01-01,,,,KH,,
