activity_identifier,type,iso_date,narrative,narrative_lang
XM-DAC-46008-cfa010938,2,2019-10-07,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008550,2,2014-02-12,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008700,2,2014-10-21,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012279,2,2024-05-16,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008313,2,2013-10-04,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003476,2,2022-06-14,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012339,2,2024-07-29,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012700,2,2025-08-19,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012373,2,2024-09-24,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011501,2,2021-06-07,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008390,2,2013-12-10,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012016,2,2023-05-24,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010059,2,2017-10-27,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011342,2,2020-11-11,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012391,2,2024-10-10,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011022,2,2019-11-22,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011408,2,2020-12-24,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010099,2,2017-11-21,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003069,2,2019-11-27,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010199,2,2018-01-16,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011307,2,2020-09-03,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011752,2,2022-06-22,Fecha de entrada en vigencia de la operación,
