activity_identifier,result_ref,result_type,aggregation_status,title,description
XM-DAC-46008-cfa011318,result_4,3,,Infraestructuras de control de cursos o cuerpos de agua construidas o rehabilitadas,
XM-DAC-46008-cfa011318,result_5,3,,Viviendas construídas o mejoradas,
XM-DAC-46008-cfa011318,result_6,3,,Superficie urbana mejorada,
XM-DAC-46008-cfa011318,result_7,3,,"Vías urbanas construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012320,result_1,3,,Operaciones de integración física latinoamericana y corredores logísticos de integración apoyadas por CAF ,
XM-DAC-46008-cfa012320,result_2,3,,"Usuarios adicionales de la vía construida, mejorada o rehabilitada",
XM-DAC-46008-cfa012320,result_3,3,,Ahorro en tiempos de viaje (minutos),
XM-DAC-46008-cfa012320,result_4,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012119,result_1,3,,Líneas de transmisión y distribución instaladas o rehabilitadas,
XM-DAC-46008-cfa012119,result_2,3,,Reducción de emisiones de carbono con apoyo de intervenciones CAF (toneladas anuales de CO2 equivalentes),
XM-DAC-46008-cfa012119,result_3,3,,Personas beneficiadas por una nueva o mejor infraestructura energética,
XM-DAC-46008-cfa012400,result_1,3,,Empleados públicos capacitados,
XM-DAC-46008-cfa012400,result_2,3,,Carga transportada,
XM-DAC-46008-cfl0000003619,result_1,3,,Pymes beneficiadas por operaciones de CAF a través de intermediarios financieros tales como bancos comerciales y de desarrollo regionales o locales ,
XM-DAC-46008-cfl0000003619,result_2,3,,Microréditos,
XM-DAC-46008-cfa010824,result_1,3,,Empleos formales creados gracias al proyecto,
XM-DAC-46008-cfa010824,result_2,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa010824,result_3,3,,Infraestructura educativa construida o rehabilitada,
XM-DAC-46008-cfa010824,result_4,3,,Fibra óptica instalada (km),
XM-DAC-46008-cfa010824,result_5,3,,Personas viviendo en barrios beneficiadas por mejoras en el entorno de su hábitat,
XM-DAC-46008-cfa011807,result_1,3,,Puntos de concentración de siniestros mejorados,
XM-DAC-46008-cfa011807,result_2,3,,Reducción en los costos de operación vehicular,
XM-DAC-46008-cfa011807,result_3,3,,Ahorro en tiempos de viaje (minutos),
XM-DAC-46008-cfa011807,result_4,3,,"Usuarios adicionales de la vía construida, mejorada o rehabilitada",
XM-DAC-46008-cfa011807,result_5,3,,Incidencia de siniestros con victimas,
XM-DAC-46008-cfa011807,result_6,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012116,result_1,3,,Puntos de concentración de siniestros mejorados,
XM-DAC-46008-cfa011744,result_1,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa011744,result_2,3,,"Usuarios adicionales de la vía construida, mejorada o rehabilitada",
XM-DAC-46008-cfa011744,result_3,3,,Operaciones de integración física latinoamericana y corredores logísticos de integración apoyadas por CAF ,
XM-DAC-46008-cfl0000003476,result_1,3,,Pymes beneficiadas por operaciones de CAF a través de intermediarios financieros tales como bancos comerciales y de desarrollo regionales o locales ,
XM-DAC-46008-cfl0000003476,result_2,3,,"Empresas beneficiadas por operaciones de CAF a través de intermediarios para capital de trabajo, comercio exterior, y proyectos de inversión",
XM-DAC-46008-cfa012339,result_1,3,,Reducción en los costos de operación vehicular,
XM-DAC-46008-cfa012339,result_2,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012339,result_3,3,,Ahorro en tiempos de viaje (minutos),
XM-DAC-46008-cfa012373,result_1,3,,"Usuarios adicionales de la vía construida, mejorada o rehabilitada",
XM-DAC-46008-cfa012373,result_2,3,,Ahorro en tiempos de viaje (minutos),
XM-DAC-46008-cfa012373,result_3,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012373,result_4,3,,Reducción en los costos de operación vehicular,
XM-DAC-46008-cfa011501,result_1,3,,Personas beneficiadas por nueva infraestructura de telecomunicaciones,
XM-DAC-46008-cfa012016,result_1,3,,Microréditos,
XM-DAC-46008-cfa012391,result_1,3,,Estudiantes beneficiados por proyectos de educación,
