activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46008-cfa011318,result_5,indicator_XM-DAC-46008-cfa011318_result_5_1,1,,,#,,1900,2020-10-08,0,
XM-DAC-46008-cfa011318,result_6,indicator_XM-DAC-46008-cfa011318_result_6_1,1,,,m2,,1900,2020-10-08,0,
XM-DAC-46008-cfa011318,result_7,indicator_XM-DAC-46008-cfa011318_result_7_1,1,,,km,,1900,2020-10-08,0,
XM-DAC-46008-cfa012320,result_1,indicator_XM-DAC-46008-cfa012320_result_1_1,1,,,#,,1900,2024-07-08,0,
XM-DAC-46008-cfa012320,result_2,indicator_XM-DAC-46008-cfa012320_result_2_1,1,,,# de vehículos/año,,1900,2024-07-08,0,
XM-DAC-46008-cfa012320,result_3,indicator_XM-DAC-46008-cfa012320_result_3_1,1,,,minutos,,1900,2024-07-08,0,
XM-DAC-46008-cfa012320,result_4,indicator_XM-DAC-46008-cfa012320_result_4_1,1,,,Km,,1900,2024-07-08,0,
XM-DAC-46008-cfa012119,result_1,indicator_XM-DAC-46008-cfa012119_result_1_1,1,,,km,,1900,2023-09-15,0,
XM-DAC-46008-cfa012119,result_2,indicator_XM-DAC-46008-cfa012119_result_2_1,1,,,ton,,1900,2023-09-15,0,
XM-DAC-46008-cfa012119,result_3,indicator_XM-DAC-46008-cfa012119_result_3_1,1,,,#,,1900,2023-09-15,0,
XM-DAC-46008-cfa012400,result_1,indicator_XM-DAC-46008-cfa012400_result_1_1,1,,,#,,1900,2024-10-07,0,
XM-DAC-46008-cfa012400,result_2,indicator_XM-DAC-46008-cfa012400_result_2_1,1,,,ton,,1900,2024-10-07,0,
XM-DAC-46008-cfl0000003619,result_1,indicator_XM-DAC-46008-cfl0000003619_result_1_1,1,,,#,,1900,2022-12-02,0,
XM-DAC-46008-cfl0000003619,result_2,indicator_XM-DAC-46008-cfl0000003619_result_2_1,1,,,#,,1900,2022-12-02,0,
XM-DAC-46008-cfa010824,result_1,indicator_XM-DAC-46008-cfa010824_result_1_1,1,,,#,,1900,2019-06-14,0,
XM-DAC-46008-cfa010824,result_2,indicator_XM-DAC-46008-cfa010824_result_2_1,1,,,Km,,1900,2019-06-14,0,
XM-DAC-46008-cfa010824,result_3,indicator_XM-DAC-46008-cfa010824_result_3_1,1,,,m2,,1900,2019-06-14,0,
XM-DAC-46008-cfa010824,result_4,indicator_XM-DAC-46008-cfa010824_result_4_1,1,,,km,,1900,2019-06-14,0,
XM-DAC-46008-cfa010824,result_5,indicator_XM-DAC-46008-cfa010824_result_5_1,1,,,#,,1900,2019-06-14,0,
XM-DAC-46008-cfa011807,result_1,indicator_XM-DAC-46008-cfa011807_result_1_1,1,,,#,,1900,2022-09-02,0,
XM-DAC-46008-cfa011807,result_2,indicator_XM-DAC-46008-cfa011807_result_2_1,1,,,USD,,1900,2022-09-02,0,
XM-DAC-46008-cfa011807,result_3,indicator_XM-DAC-46008-cfa011807_result_3_1,1,,,minutos,,1900,2022-09-02,0,
XM-DAC-46008-cfa011807,result_4,indicator_XM-DAC-46008-cfa011807_result_4_1,1,,,# de vehículos/año,,1900,2022-09-02,0,
XM-DAC-46008-cfa011807,result_5,indicator_XM-DAC-46008-cfa011807_result_5_1,1,,,#/año,,1900,2022-09-02,0,
XM-DAC-46008-cfa011807,result_6,indicator_XM-DAC-46008-cfa011807_result_6_1,1,,,Km,,1900,2022-09-02,0,
XM-DAC-46008-cfa012116,result_1,indicator_XM-DAC-46008-cfa012116_result_1_1,1,,,#,,1900,2023-09-05,0,
XM-DAC-46008-cfa011744,result_1,indicator_XM-DAC-46008-cfa011744_result_1_1,1,,,Km,,1900,2022-06-24,0,
XM-DAC-46008-cfa011744,result_2,indicator_XM-DAC-46008-cfa011744_result_2_1,1,,,# de vehículos/año,,1900,2022-06-24,0,
XM-DAC-46008-cfa011744,result_3,indicator_XM-DAC-46008-cfa011744_result_3_1,1,,,#,,1900,2022-06-24,0,
XM-DAC-46008-cfl0000003476,result_1,indicator_XM-DAC-46008-cfl0000003476_result_1_1,1,,,#,,1900,2022-06-14,0,
XM-DAC-46008-cfl0000003476,result_2,indicator_XM-DAC-46008-cfl0000003476_result_2_1,1,,,#,,1900,2022-06-14,0,
XM-DAC-46008-cfa012339,result_1,indicator_XM-DAC-46008-cfa012339_result_1_1,1,,,USD,,1900,2024-07-29,0,
XM-DAC-46008-cfa012339,result_2,indicator_XM-DAC-46008-cfa012339_result_2_1,1,,,Km,,1900,2024-07-29,0,
XM-DAC-46008-cfa012339,result_3,indicator_XM-DAC-46008-cfa012339_result_3_1,1,,,minutos,,1900,2024-07-29,0,
XM-DAC-46008-cfa012373,result_1,indicator_XM-DAC-46008-cfa012373_result_1_1,1,,,# de vehículos/año,,1900,2024-09-24,0,
XM-DAC-46008-cfa012373,result_2,indicator_XM-DAC-46008-cfa012373_result_2_1,1,,,minutos,,1900,2024-09-24,0,
XM-DAC-46008-cfa012373,result_3,indicator_XM-DAC-46008-cfa012373_result_3_1,1,,,Km,,1900,2024-09-24,0,
XM-DAC-46008-cfa012373,result_4,indicator_XM-DAC-46008-cfa012373_result_4_1,1,,,USD,,1900,2024-09-24,0,
XM-DAC-46008-cfa011501,result_1,indicator_XM-DAC-46008-cfa011501_result_1_1,1,,,#,,1900,2021-06-07,0,
XM-DAC-46008-cfa012016,result_1,indicator_XM-DAC-46008-cfa012016_result_1_1,1,,,#,,1900,2023-05-24,0,
XM-DAC-46008-cfa012391,result_1,indicator_XM-DAC-46008-cfa012391_result_1_1,1,,,#,,1900,2024-10-10,0,
XM-DAC-46008-cfa012391,result_2,indicator_XM-DAC-46008-cfa012391_result_2_1,1,,,#,,1900,2024-10-10,0,
XM-DAC-46008-cfa012391,result_3,indicator_XM-DAC-46008-cfa012391_result_3_1,1,,,m2,,1900,2024-10-10,0,
XM-DAC-46008-cfa012391,result_4,indicator_XM-DAC-46008-cfa012391_result_4_1,1,,,#,,1900,2024-10-10,0,
XM-DAC-46008-cfa011408,result_1,indicator_XM-DAC-46008-cfa011408_result_1_1,1,,,minutos,,1900,2020-12-24,0,
XM-DAC-46008-cfa011408,result_2,indicator_XM-DAC-46008-cfa011408_result_2_1,1,,,Km,,1900,2020-12-24,0,
XM-DAC-46008-cfl0000003069,result_1,indicator_XM-DAC-46008-cfl0000003069_result_1_1,1,,,#,,1900,2019-11-27,0,
XM-DAC-46008-cfl0000003069,result_2,indicator_XM-DAC-46008-cfl0000003069_result_2_1,1,,,#,,1900,2019-11-27,0,
XM-DAC-46008-cfa011752,result_1,indicator_XM-DAC-46008-cfa011752_result_1_1,1,,,#,,1900,2022-06-22,0,
XM-DAC-46008-cfa011752,result_2,indicator_XM-DAC-46008-cfa011752_result_2_1,1,,,hectáreas,,1900,2022-06-22,0,
XM-DAC-46008-cfa011752,result_3,indicator_XM-DAC-46008-cfa011752_result_3_1,1,,,#,,1900,2022-06-22,0,
XM-DAC-46008-cfa011752,result_4,indicator_XM-DAC-46008-cfa011752_result_4_1,1,,,#,,1900,2022-06-22,0,
XM-DAC-46008-cfa012460,result_1,indicator_XM-DAC-46008-cfa012460_result_1_1,1,,,minutos,,1900,2024-12-06,0,
XM-DAC-46008-cfa012460,result_2,indicator_XM-DAC-46008-cfa012460_result_2_1,1,,,Km,,1900,2024-12-06,0,
XM-DAC-46008-cfa012160,result_1,indicator_XM-DAC-46008-cfa012160_result_1_1,1,,,m2,,1900,2023-11-08,0,
XM-DAC-46008-cfa012564,result_1,indicator_XM-DAC-46008-cfa012564_result_1_1,1,,,#,,1900,2025-03-11,0,
XM-DAC-46008-cfa012564,result_2,indicator_XM-DAC-46008-cfa012564_result_2_1,1,,,ton,,1900,2025-03-11,0,
XM-DAC-46008-cfa012564,result_3,indicator_XM-DAC-46008-cfa012564_result_3_1,1,,,ton,,1900,2025-03-11,0,
XM-DAC-46008-cfl0000003442,result_1,indicator_XM-DAC-46008-cfl0000003442_result_1_1,1,,,#,,1900,2022-04-08,0,
XM-DAC-46008-cfl0000003442,result_2,indicator_XM-DAC-46008-cfl0000003442_result_2_1,1,,,#,,1900,2022-04-08,0,
XM-DAC-46008-cfa011677,result_1,indicator_XM-DAC-46008-cfa011677_result_1_1,1,,,m2,,1900,2022-01-26,0,
XM-DAC-46008-cfa011677,result_2,indicator_XM-DAC-46008-cfa011677_result_2_1,1,,,#,,1900,2022-01-26,0,
XM-DAC-46008-cfa011677,result_3,indicator_XM-DAC-46008-cfa011677_result_3_1,1,,,#,,1900,2022-01-26,0,
XM-DAC-46008-cfa011677,result_4,indicator_XM-DAC-46008-cfa011677_result_4_1,1,,,km,,1900,2022-01-26,0,
XM-DAC-46008-cfa011677,result_5,indicator_XM-DAC-46008-cfa011677_result_5_1,1,,,#,,1900,2022-01-26,0,
XM-DAC-46008-cfa011677,result_6,indicator_XM-DAC-46008-cfa011677_result_6_1,1,,,#,,1900,2022-01-26,0,
XM-DAC-46008-cfa012206,result_1,indicator_XM-DAC-46008-cfa012206_result_1_1,1,,,hectáreas,,1900,2023-12-11,0,
XM-DAC-46008-cfa012206,result_2,indicator_XM-DAC-46008-cfa012206_result_2_1,1,,,m2,,1900,2023-12-11,0,
XM-DAC-46008-cfa012206,result_3,indicator_XM-DAC-46008-cfa012206_result_3_1,1,,,#,,1900,2023-12-11,0,
XM-DAC-46008-cfa012206,result_4,indicator_XM-DAC-46008-cfa012206_result_4_1,1,,,#,,1900,2023-12-11,0,
XM-DAC-46008-cfa012206,result_5,indicator_XM-DAC-46008-cfa012206_result_5_1,1,,,#,,1900,2023-12-11,0,
XM-DAC-46008-cfa011994,result_1,indicator_XM-DAC-46008-cfa011994_result_1_1,1,,,minutos,,1900,2023-05-09,0,
XM-DAC-46008-cfa011994,result_2,indicator_XM-DAC-46008-cfa011994_result_2_1,1,,,#,,1900,2023-05-09,0,
XM-DAC-46008-cfa011994,result_3,indicator_XM-DAC-46008-cfa011994_result_3_1,1,,,#/año,,1900,2023-05-09,0,
XM-DAC-46008-cfa011994,result_4,indicator_XM-DAC-46008-cfa011994_result_4_1,1,,,Km,,1900,2023-05-09,0,
XM-DAC-46008-cfa011994,result_5,indicator_XM-DAC-46008-cfa011994_result_5_1,1,,,# de vehículos/año,,1900,2023-05-09,0,
XM-DAC-46008-cfa011994,result_6,indicator_XM-DAC-46008-cfa011994_result_6_1,1,,,USD,,1900,2023-05-09,0,
XM-DAC-46008-cfa012050,result_1,indicator_XM-DAC-46008-cfa012050_result_1_1,1,,,minutos,,1900,2023-07-07,0,
XM-DAC-46008-cfa012050,result_2,indicator_XM-DAC-46008-cfa012050_result_2_1,1,,,Km,,1900,2023-07-07,0,
XM-DAC-46008-cfa012050,result_3,indicator_XM-DAC-46008-cfa012050_result_3_1,1,,,# de vehículos/año,,1900,2023-07-07,0,
XM-DAC-46008-cfa012050,result_4,indicator_XM-DAC-46008-cfa012050_result_4_1,1,,,#,,1900,2023-07-07,0,
XM-DAC-46008-cfl0000003477,result_1,indicator_XM-DAC-46008-cfl0000003477_result_1_1,1,,,#,,1900,2022-06-22,0,
XM-DAC-46008-cfa011063,result_1,indicator_XM-DAC-46008-cfa011063_result_1_1,1,,,#,,1900,2019-12-30,0,
XM-DAC-46008-cfa012275,result_1,indicator_XM-DAC-46008-cfa012275_result_1_1,1,,,m2,,1900,2024-05-07,0,
XM-DAC-46008-cfa012275,result_2,indicator_XM-DAC-46008-cfa012275_result_2_1,1,,,#,,1900,2024-05-07,0,
XM-DAC-46008-cfa012275,result_3,indicator_XM-DAC-46008-cfa012275_result_3_1,1,,,#,,1900,2024-05-07,0,
XM-DAC-46008-cfa012275,result_4,indicator_XM-DAC-46008-cfa012275_result_4_1,1,,,#,,1900,2024-05-07,0,
XM-DAC-46008-cfa011459,result_1,indicator_XM-DAC-46008-cfa011459_result_1_1,1,,,Km,,1900,2021-04-21,0,
XM-DAC-46008-cfa011459,result_2,indicator_XM-DAC-46008-cfa011459_result_2_1,1,,,minutos,,1900,2021-04-21,0,
XM-DAC-46008-cfa011459,result_3,indicator_XM-DAC-46008-cfa011459_result_3_1,1,,,# de vehículos/año,,1900,2021-04-21,0,
XM-DAC-46008-cfl0000003412,result_1,indicator_XM-DAC-46008-cfl0000003412_result_1_1,1,,,#,,1900,2015-12-10,0,
XM-DAC-46008-cfa011191,result_1,indicator_XM-DAC-46008-cfa011191_result_1_1,1,,,#,,1900,2020-03-30,0,
XM-DAC-46008-cfa011191,result_2,indicator_XM-DAC-46008-cfa011191_result_2_1,1,,,# de vehículos/año,,1900,2020-03-30,0,
XM-DAC-46008-cfa011191,result_3,indicator_XM-DAC-46008-cfa011191_result_3_1,1,,,#,,1900,2020-03-30,0,
XM-DAC-46008-cfa011191,result_4,indicator_XM-DAC-46008-cfa011191_result_4_1,1,,,MW,,1900,2020-03-30,0,
XM-DAC-46008-cfa011191,result_5,indicator_XM-DAC-46008-cfa011191_result_5_1,1,,,Km,,1900,2020-03-30,0,
XM-DAC-46008-cfa011191,result_6,indicator_XM-DAC-46008-cfa011191_result_6_1,1,,,km,,1900,2020-03-30,0,
XM-DAC-46008-cfl0000002469,result_1,indicator_XM-DAC-46008-cfl0000002469_result_1_1,1,,,#,,1900,2015-12-10,0,
XM-DAC-46008-cfa011827,result_1,indicator_XM-DAC-46008-cfa011827_result_1_1,1,,,#,,1900,2022-10-04,0,
XM-DAC-46008-cfa011827,result_2,indicator_XM-DAC-46008-cfa011827_result_2_1,1,,,m2,,1900,2022-10-04,0,
XM-DAC-46008-cfa011827,result_3,indicator_XM-DAC-46008-cfa011827_result_3_1,1,,,km,,1900,2022-10-04,0,
XM-DAC-46008-cfa011827,result_4,indicator_XM-DAC-46008-cfa011827_result_4_1,1,,,#,,1900,2022-10-04,0,
XM-DAC-46008-cfa012093,result_1,indicator_XM-DAC-46008-cfa012093_result_1_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012093,result_2,indicator_XM-DAC-46008-cfa012093_result_2_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012093,result_3,indicator_XM-DAC-46008-cfa012093_result_3_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012093,result_4,indicator_XM-DAC-46008-cfa012093_result_4_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012093,result_5,indicator_XM-DAC-46008-cfa012093_result_5_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012093,result_6,indicator_XM-DAC-46008-cfa012093_result_6_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012093,result_7,indicator_XM-DAC-46008-cfa012093_result_7_1,1,,,#,,1900,2023-08-21,0,
XM-DAC-46008-cfa012334,result_1,indicator_XM-DAC-46008-cfa012334_result_1_1,1,,,#,,1900,2024-08-05,0,
XM-DAC-46008-cfa012334,result_2,indicator_XM-DAC-46008-cfa012334_result_2_1,1,,,#,,1900,2024-08-05,0,
XM-DAC-46008-cfa012334,result_3,indicator_XM-DAC-46008-cfa012334_result_3_1,1,,,hectáreas,,1900,2024-08-05,0,
XM-DAC-46008-cfl0000003683,result_1,indicator_XM-DAC-46008-cfl0000003683_result_1_1,1,,,#,,1900,2023-05-25,0,
XM-DAC-46008-cfl0000003683,result_2,indicator_XM-DAC-46008-cfl0000003683_result_2_1,1,,,#,,1900,2023-05-25,0,
XM-DAC-46008-cfl0000003580,result_1,indicator_XM-DAC-46008-cfl0000003580_result_1_1,1,,,#,,1900,2022-12-12,0,
XM-DAC-46008-cfl0000003580,result_2,indicator_XM-DAC-46008-cfl0000003580_result_2_1,1,,,#,,1900,2022-12-12,0,
XM-DAC-46008-cfa011906,result_1,indicator_XM-DAC-46008-cfa011906_result_1_1,1,,,#,,1900,2022-12-27,0,
XM-DAC-46008-cfa011906,result_2,indicator_XM-DAC-46008-cfa011906_result_2_1,1,,,#,,1900,2022-12-27,0,
XM-DAC-46008-cfa011906,result_3,indicator_XM-DAC-46008-cfa011906_result_3_1,1,,,#,,1900,2022-12-27,0,
XM-DAC-46008-cfa011906,result_4,indicator_XM-DAC-46008-cfa011906_result_4_1,1,,,m2,,1900,2022-12-27,0,
XM-DAC-46008-cfa011906,result_5,indicator_XM-DAC-46008-cfa011906_result_5_1,1,,,#,,1900,2022-12-27,0,
XM-DAC-46008-cfa011906,result_6,indicator_XM-DAC-46008-cfa011906_result_6_1,1,,,km,,1900,2022-12-27,0,
XM-DAC-46008-cfl0000003406,result_1,indicator_XM-DAC-46008-cfl0000003406_result_1_1,1,,,#,,1900,2021-12-15,0,
XM-DAC-46008-cfa011061,result_1,indicator_XM-DAC-46008-cfa011061_result_1_1,1,,,m2,,1900,2019-11-29,0,
XM-DAC-46008-cfa011061,result_2,indicator_XM-DAC-46008-cfa011061_result_2_1,1,,,Km,,1900,2019-11-29,0,
XM-DAC-46008-cfa011061,result_3,indicator_XM-DAC-46008-cfa011061_result_3_1,1,,,# de vehículos/año,,1900,2019-11-29,0,
XM-DAC-46008-cfa011061,result_4,indicator_XM-DAC-46008-cfa011061_result_4_1,1,,,#,,1900,2019-11-29,0,
XM-DAC-46008-cfl0000003492,result_1,indicator_XM-DAC-46008-cfl0000003492_result_1_1,1,,,#,,1900,2022-07-20,0,
XM-DAC-46008-cfa012056,result_1,indicator_XM-DAC-46008-cfa012056_result_1_1,1,,,#,,1900,2023-07-04,0,
XM-DAC-46008-cfa012056,result_2,indicator_XM-DAC-46008-cfa012056_result_2_1,1,,,m2,,1900,2023-07-04,0,
XM-DAC-46008-cfa012596,result_1,indicator_XM-DAC-46008-cfa012596_result_1_1,1,,,m2,,1900,2025-04-16,0,
XM-DAC-46008-cfa012596,result_2,indicator_XM-DAC-46008-cfa012596_result_2_1,1,,,#,,1900,2025-04-16,0,
XM-DAC-46008-cfa012596,result_3,indicator_XM-DAC-46008-cfa012596_result_3_1,1,,,#,,1900,2025-04-16,0,
XM-DAC-46008-cfa012596,result_4,indicator_XM-DAC-46008-cfa012596_result_4_1,1,,,#,,1900,2025-04-16,0,
XM-DAC-46008-cfa012596,result_5,indicator_XM-DAC-46008-cfa012596_result_5_1,1,,,km,,1900,2025-04-16,0,
XM-DAC-46008-cfa012596,result_6,indicator_XM-DAC-46008-cfa012596_result_6_1,1,,,km,,1900,2025-04-16,0,
XM-DAC-46008-cfa012596,result_7,indicator_XM-DAC-46008-cfa012596_result_7_1,1,,,m3/año,,1900,2025-04-16,0,
XM-DAC-46008-cfa012325,result_1,indicator_XM-DAC-46008-cfa012325_result_1_1,1,,,USD,,1900,2024-07-30,0,
XM-DAC-46008-cfa012325,result_2,indicator_XM-DAC-46008-cfa012325_result_2_1,1,,,Km,,1900,2024-07-30,0,
XM-DAC-46008-cfa012442,result_1,indicator_XM-DAC-46008-cfa012442_result_1_1,1,,,#/año,,1900,2024-11-27,0,
XM-DAC-46008-cfa012442,result_2,indicator_XM-DAC-46008-cfa012442_result_2_1,1,,,#,,1900,2024-11-27,0,
XM-DAC-46008-cfa012442,result_3,indicator_XM-DAC-46008-cfa012442_result_3_1,1,,,minutos,,1900,2024-11-27,0,
XM-DAC-46008-cfa012442,result_4,indicator_XM-DAC-46008-cfa012442_result_4_1,1,,,km,,1900,2024-11-27,0,
XM-DAC-46008-cfa011489,result_1,indicator_XM-DAC-46008-cfa011489_result_1_1,1,,,# de vehículos/año,,1900,2021-05-18,0,
XM-DAC-46008-cfa011489,result_2,indicator_XM-DAC-46008-cfa011489_result_2_1,1,,,#,,1900,2021-05-18,0,
XM-DAC-46008-cfa011489,result_3,indicator_XM-DAC-46008-cfa011489_result_3_1,1,,,Km,,1900,2021-05-18,0,
XM-DAC-46008-cfa011489,result_4,indicator_XM-DAC-46008-cfa011489_result_4_1,1,,,#,,1900,2021-05-18,0,
XM-DAC-46008-cfa011489,result_5,indicator_XM-DAC-46008-cfa011489_result_5_1,1,,,minutos,,1900,2021-05-18,0,
XM-DAC-46008-cfa011489,result_6,indicator_XM-DAC-46008-cfa011489_result_6_1,1,,,ton,,1900,2021-05-18,0,
XM-DAC-46008-cfa011057,result_1,indicator_XM-DAC-46008-cfa011057_result_1_1,1,,,#,,1900,2019-12-20,0,
XM-DAC-46008-cfa011057,result_2,indicator_XM-DAC-46008-cfa011057_result_2_1,1,,,#,,1900,2019-12-20,0,
XM-DAC-46008-cfa011057,result_3,indicator_XM-DAC-46008-cfa011057_result_3_1,1,,,m3/año,,1900,2019-12-20,0,
XM-DAC-46008-cfa012064,result_1,indicator_XM-DAC-46008-cfa012064_result_1_1,1,,,#,,1900,2023-07-28,0,
XM-DAC-46008-cfa012064,result_2,indicator_XM-DAC-46008-cfa012064_result_2_1,1,,,m2,,1900,2023-07-28,0,
XM-DAC-46008-cfa012064,result_3,indicator_XM-DAC-46008-cfa012064_result_3_1,1,,,#,,1900,2023-07-28,0,
XM-DAC-46008-cfl0000003443,result_1,indicator_XM-DAC-46008-cfl0000003443_result_1_1,1,,,#,,1900,2022-05-10,0,
XM-DAC-46008-cfl0000003443,result_2,indicator_XM-DAC-46008-cfl0000003443_result_2_1,1,,,#,,1900,2022-05-10,0,
XM-DAC-46008-cfa011997,result_1,indicator_XM-DAC-46008-cfa011997_result_1_1,1,,,USD,,1900,2023-05-09,0,
XM-DAC-46008-cfa011997,result_2,indicator_XM-DAC-46008-cfa011997_result_2_1,1,,,#/año,,1900,2023-05-09,0,
XM-DAC-46008-cfa011997,result_3,indicator_XM-DAC-46008-cfa011997_result_3_1,1,,,#,,1900,2023-05-09,0,
XM-DAC-46008-cfa011997,result_4,indicator_XM-DAC-46008-cfa011997_result_4_1,1,,,# de vehículos/año,,1900,2023-05-09,0,
XM-DAC-46008-cfa011997,result_5,indicator_XM-DAC-46008-cfa011997_result_5_1,1,,,minutos,,1900,2023-05-09,0,
XM-DAC-46008-cfa011997,result_6,indicator_XM-DAC-46008-cfa011997_result_6_1,1,,,Km,,1900,2023-05-09,0,
XM-DAC-46008-cfa011740,result_1,indicator_XM-DAC-46008-cfa011740_result_1_1,1,,,#,,1900,2022-05-25,0,
XM-DAC-46008-cfa011740,result_2,indicator_XM-DAC-46008-cfa011740_result_2_1,1,,,#,,1900,2022-05-25,0,
XM-DAC-46008-cfa011740,result_3,indicator_XM-DAC-46008-cfa011740_result_3_1,1,,,km,,1900,2022-05-25,0,
XM-DAC-46008-cfa011740,result_4,indicator_XM-DAC-46008-cfa011740_result_4_1,1,,,km,,1900,2022-05-25,0,
XM-DAC-46008-cfa011740,result_5,indicator_XM-DAC-46008-cfa011740_result_5_1,1,,,#,,1900,2022-05-25,0,
XM-DAC-46008-cfa011740,result_6,indicator_XM-DAC-46008-cfa011740_result_6_1,1,,,m2,,1900,2022-05-25,0,
