activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,provider_org_ref,provider_org_name,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_type,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian
XM-DAC-46008-cfa011807,,3,2024-08-02,21410000,USD,2024-08-02,,,,,,,,,,,,,0
XM-DAC-46008-cfa011177,,2,2020-03-30,100000000,USD,2020-03-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa011177,,3,2025-02-27,97051324,USD,2025-02-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa012116,,2,2023-09-05,75000000,USD,2023-09-05,,,,,,,,,,,,,0
XM-DAC-46008-cfa012116,,3,2023-09-05,0,USD,2023-09-05,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003792,,2,2024-01-22,50000000,USD,2024-01-22,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003792,,3,2025-04-23,50000000,USD,2025-04-23,,,,,,,,,,,,,0
XM-DAC-46008-cfa010180,,2,2023-11-08,55000000,USD,2023-11-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa010180,,3,2024-03-13,36918000,USD,2024-03-13,,,,,,,,,,,,,0
XM-DAC-46008-cfa010689,,2,2019-02-19,50000000,USD,2019-02-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa010689,,3,2025-07-31,36737920,USD,2025-07-31,,,,,,,,,,,,,0
XM-DAC-46008-cfa008680,,2,2014-07-25,204000000,USD,2014-07-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa008680,,3,2025-04-25,176083714,USD,2025-04-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa011744,,2,2022-06-24,100000000,USD,2022-06-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa011744,,3,2025-01-28,29915438,USD,2025-01-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa010784,,2,2019-05-14,27000000,USD,2019-05-14,,,,,,,,,,,,,0
XM-DAC-46008-cfa010784,,3,2024-11-26,7600000,USD,2024-11-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa011411,,2,2021-01-27,50000000,USD,2021-01-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa011411,,3,2025-09-12,46815500,USD,2025-09-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa010938,,2,2019-10-07,296000000,USD,2019-10-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa010938,,3,2025-09-22,264185321,USD,2025-09-22,,,,,,,,,,,,,0
XM-DAC-46008-cfa008550,,2,2014-02-12,8325000,USD,2014-02-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa008550,,3,2024-11-15,7546849,USD,2024-11-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa008700,,2,2014-10-21,70000000,USD,2014-10-21,,,,,,,,,,,,,0
XM-DAC-46008-cfa008700,,3,2023-12-07,69000000,USD,2023-12-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012279,,2,2024-05-16,75000000,USD,2024-05-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa012279,,3,2024-07-11,70000000,USD,2024-07-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa008313,,2,2013-10-04,15250000,USD,2013-10-04,,,,,,,,,,,,,0
XM-DAC-46008-cfa008313,,3,2025-04-25,14799960,USD,2025-04-25,,,,,,,,,,,,,0
