activity_identifier,url,format,title,title_lang,description,description_lang,category_code,language_code,document_date
XM-DAC-46008-cfa011342,https://www.caf.com/es/proyectos/cfa011342-proyecto-implementacion-del-plan-de-manejo-integral-de-la-cuenca-del-rio-lujan-etapa-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012391,https://www.caf.com/es/proyectos/cfa012391-plan-nacional-de-espacios-educativos-para-la-vida-comunitaria-2022-2026,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011022,https://www.caf.com/es/proyectos/cfa011022-programa-de-movilidad-urbana-y-salud-publica,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011408,https://www.caf.com/es/proyectos/cfa011408-proyecto-construccion-de-accesos-viales-al-segundo-puente-con-brasil,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010099,https://www.caf.com/es/proyectos/cfa010099-programa-integral-del-habitat,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003069,https://www.caf.com/es/proyectos/cfl0000003069-banco-do-nordeste-do-brasil-sa-bnb,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010199,https://www.caf.com/es/proyectos/cfa010199-habilitacion-de-la-red-vial-pavimentada-departamentos-de-cordillera-paraguari-caaguazu-guaira-y-caazapa-vial-2,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011307,https://www.caf.com/es/proyectos/cfa011307-linea-de-credito-contingente-regional-para-eventos-extemos-del-clima-sismo-accidentes-contaminantes-y-epidemias-covid-19-panama,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011752,https://www.caf.com/es/proyectos/cfa011752-programa-rumbo-a-la-soberania-alimentaria-con-tecnologia-de-riego,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012460,https://www.caf.com/es/proyectos/cfa012460-proyecto-sistema-vial-integrado-del-estado-de-bahia-puente-salvador-isla-de-itaparica,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa007946,https://www.caf.com/es/proyectos/cfa007946-mexico-ventures-i-lp,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
