activity_identifier,result_ref,result_type,aggregation_status,title,description
XM-DAC-46007-500437,result_1,1,1,Efectos,
XM-DAC-46007-500437,result_2,1,1,Víal,
XM-DAC-46007-500446,result_1,1,1,Educación,
XM-DAC-46007-500446,result_2,1,1,Efectos,
XM-DAC-46007-500451,result_1,1,1,Educación,
XM-DAC-46007-500451,result_2,1,1,Efectos,
XM-DAC-46007-500451,result_3,1,1,Salud,
XM-DAC-46007-500451,result_4,1,1,Víal,
XM-DAC-46007-500459,result_1,1,1,Efectos,
XM-DAC-46007-500459,result_2,1,1,Salud,
XM-DAC-46007-500459,result_3,1,1,Seguridad,
XM-DAC-46007-500507,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500507,result_2,1,1,Efectos,
XM-DAC-46007-500507,result_3,1,1,Energía,
XM-DAC-46007-500507,result_4,1,1,Registro Nacional,
XM-DAC-46007-500507,result_5,1,1,Viviendas,
XM-DAC-46007-500626,result_1,1,1,Efectos,
XM-DAC-46007-500626,result_2,1,1,Energía,
XM-DAC-46007-500627,result_1,1,1,Efectos,
XM-DAC-46007-500627,result_2,1,1,Energía,
XM-DAC-46007-500634,result_1,1,1,Educación,
XM-DAC-46007-500634,result_2,1,1,Efectos,
XM-DAC-46007-500636,result_1,1,1,Efectos,
XM-DAC-46007-500636,result_2,1,1,Víal,
XM-DAC-46007-500640,result_1,1,1,Efectos,
XM-DAC-46007-500645,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500645,result_2,1,1,Educación,
XM-DAC-46007-500645,result_3,1,1,Efectos,
XM-DAC-46007-500645,result_4,1,1,Energía,
XM-DAC-46007-500645,result_5,1,1,Registro Nacional,
XM-DAC-46007-500645,result_6,1,1,Salud,
XM-DAC-46007-500645,result_7,1,1,Víal,
XM-DAC-46007-500645,result_8,1,1,Viviendas,
XM-DAC-46007-500646,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500646,result_2,1,1,Efectos,
XM-DAC-46007-500669,result_1,1,1,Efectos,
XM-DAC-46007-500701,result_1,1,1,Efectos,
XM-DAC-46007-500701,result_2,1,1,Salud,
XM-DAC-46007-500705,result_1,1,1,Efectos,
XM-DAC-46007-500734,result_1,1,1,Efectos,
XM-DAC-46007-500744,result_1,1,1,OPD,
XM-DAC-46007-500749,result_1,1,1,Efectos,
XM-DAC-46007-500749,result_2,1,1,Víal,
XM-DAC-46007-500791,result_1,1,1,Efectos,
XM-DAC-46007-500818,result_1,1,1,Efectos,
XM-DAC-46007-500818,result_2,1,1,Seguridad,
XM-DAC-46007-500832,result_1,1,1,Efectos,
XM-DAC-46007-500832,result_2,1,1,Víal,
XM-DAC-46007-500834,result_1,1,1,Efectos,
XM-DAC-46007-500834,result_2,1,1,Víal,
XM-DAC-46007-500860,result_1,1,1,Efectos,
XM-DAC-46007-500860,result_2,1,1,Víal,
XM-DAC-46007-500864,result_1,1,1,Efectos,
XM-DAC-46007-500864,result_2,1,1,Registro Nacional,
XM-DAC-46007-500901,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500901,result_2,1,1,Educación,
XM-DAC-46007-500901,result_3,1,1,Efectos,
XM-DAC-46007-500901,result_4,1,1,Energía,
XM-DAC-46007-500901,result_5,1,1,Registro Nacional,
XM-DAC-46007-500901,result_6,1,1,Víal,
XM-DAC-46007-500901,result_7,1,1,Viviendas,
XM-DAC-46007-500930,result_1,1,1,"Agronegocios, Desarrollo Rural ",
XM-DAC-46007-500930,result_2,1,1,Efectos,
XM-DAC-46007-500930,result_3,1,1,Energía,
