activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-500338,result_2,result_2_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2018,,0
XM-DAC-46007-500901,result_3,result_3_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2022,,2814066
XM-DAC-46007-500459,result_3,result_3_18,1,1,,Seguridad,Espacios vinculados a la seguridad ciudadana,"Número de infraestructuras físicas construidas, ampliadas, rehabilitadas destinadas a la prevención, control y atención en materia de seguridad ciudadana. Incluye celdas, unidades policiales, centros y granjas penitenciarias.",2019,,0
XM-DAC-46007-501151,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2024,,0
XM-DAC-46007-302270,result_2,result_2_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2012,,0
XM-DAC-46007-500701,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2021,,6148
XM-DAC-46007-501108,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2024,,36628
XM-DAC-46007-500645,result_3,result_3_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2020,,0
XM-DAC-46007-501138,result_2,result_2_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2024,,0
XM-DAC-46007-500179,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,,348
XM-DAC-46007-501159,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2024,,0
XM-DAC-46007-500267,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,,0
XM-DAC-46007-302411,result_2,result_2_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,,0
XM-DAC-46007-302441,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,,0
XM-DAC-46007-501128,result_2,result_2_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2024,,0
XM-DAC-46007-501243,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2025,,57
XM-DAC-46007-500701,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2021,,99248
XM-DAC-46007-500248,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,,41
XM-DAC-46007-500218,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,,0
XM-DAC-46007-500436,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2019,,0
XM-DAC-46007-500645,result_2,result_2_9,1,1,,Educación,Área de construcción - educación,"Cantidad de metros cuadrados de centros educativos construidos y rehabilitados en el proyecto, incluidas las ampliaciones tales como áreas cívicas, canchas deportivas, bibliotecas, laboratorios, auditorios, salones de usos múltiples, entre otros. ",2020,,0
XM-DAC-46007-500832,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2022,,2204579
XM-DAC-46007-501151,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2024,,0
XM-DAC-46007-500338,result_2,result_2_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2018,,0
XM-DAC-46007-500451,result_2,result_2_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2019,,0
XM-DAC-46007-500645,result_3,result_3_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2020,,0
XM-DAC-46007-501217,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2025,,5376
XM-DAC-46007-500208,result_2,result_2_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,,0
XM-DAC-46007-500626,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2020,,740
XM-DAC-46007-500316,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,,0
XM-DAC-46007-500208,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,,106820
XM-DAC-46007-500901,result_3,result_3_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2022,,210
XM-DAC-46007-500422,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2019,,0
XM-DAC-46007-500930,result_2,result_2_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2023,,0
XM-DAC-46007-500507,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2020,,0
XM-DAC-46007-501238,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2025,,0
XM-DAC-46007-501114,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2024,,0
XM-DAC-46007-500640,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2020,,0
XM-DAC-46007-500646,result_2,result_2_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2021,,0
XM-DAC-46007-500240,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,,1238
