activity_identifier,location_ref,location_reach,location_id_vocabulary,location_id_code,name,name_lang,description,description_lang,activity_description,activity_description_lang,latitude,longitude,exactness,location_class,feature_designation,administrative_vocabulary,administrative_level,administrative_code,administrative_country
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,San Ignacio",,,,,es,"-27.25221235,",-55.53056076,,,,G1,1,7,
XI-IATI-IADB-AR-L1354,,,G1,,"Argentina, AV. PASEO COL N 171, PB, OF.803, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.607913105286,",-58.403368977464,,,,G1,1,7,
XI-IATI-IADB-AR-L1370,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 5, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1298,,,G1,,"Argentina,Federal",,,,,es,"-51.5967428,",-72.22151246,,,,G1,1,7,
XI-IATI-IADB-AR-L1281,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.5868085,",-58.3942585,,,,G1,1,7,
XI-IATI-IADB-AR-L1355,,,G1,,"Argentina, AV 9 DE JULIO 1925 PISO 14, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60876146864,",-58.434229294887,,,,G1,1,7,
XI-IATI-IADB-AR-L1355,,,G1,,"Argentina, PIZZURNO 935, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.59814998067,",-58.391192942646,,,,G1,1,7,
XI-IATI-IADB-AR-L1356,,,G1,,"Argentina,Neuqu n",,,,,es,"-38.3695057,",-69.832275,,,,G1,1,7,
XI-IATI-IADB-AR-L1282,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6090367,",-58.3717558,,,,G1,1,7,
XI-IATI-IADB-AR-L1310,,,G1,,"Argentina, AV PASEO COLON 751, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.616690019433,",-58.3695100054,,,,G1,1,7,
XI-IATI-IADB-AR-L1337,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6037181,",-58.38153,,,,G1,1,7,
XI-IATI-IADB-AR-L1337,,,G1,,"Argentina,Buenos Aires,Constituci n",,,,,es,"-34.624246,",-58.3836324,,,,G1,1,7,
XI-IATI-IADB-AR-L1337,,,G1,,"Argentina,Buenos Aires,La Plata",,,,,es,"-34.9206797,",-57.9537638,,,,G1,1,7,
XI-IATI-IADB-AR-L1337,,,G1,,"Argentina,Constituci n",,,,,es,"-34.624246,",-58.3836324,,,,G1,1,7,
XI-IATI-IADB-AR-L1337,,,G1,,"Argentina,La Plata",,,,,es,"-34.9206797,",-57.9537638,,,,G1,1,7,
XI-IATI-IADB-AR-L1007,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6075682,",-58.4370894,,,,G1,1,7,
XI-IATI-IADB-AR-L1080,,,G1,,"Argentina,Tigre",,,,,es,"-34.4226513,",-58.5808967,,,,G1,1,7,
XI-IATI-IADB-AR-L1131,,,G1,,"Argentina,Avellaneda",,,,,es,"-34.6648394,",-58.3628061,,,,G1,1,7,
XI-IATI-IADB-AR-L1131,,,G1,,"Argentina,Entre R os",,,,,es,"-31.6252842,",-59.3539578,,,,G1,1,7,
XI-IATI-IADB-AR-L1131,,,G1,,"Argentina,San Juan",,,,,es,"-30.7054363,",-69.1988222,,,,G1,1,7,
XI-IATI-IADB-AR-L1131,,,G1,,"Argentina,Santa Fe",,,,,es,"-30.3154739,",-61.1645076,,,,G1,1,7,
XI-IATI-IADB-AR-L1151,,,G1,,"Argentina, SUIPACHA 1111, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.594960019269,",-58.379910019403,,,,G1,1,7,
XI-IATI-IADB-AR-L1151,,,G1,,"Argentina, SAN MART ?N 459, PISO 1, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.602630005499,",-58.373840012762,,,,G1,1,7,
XI-IATI-IADB-AR-L1071,,,G1,,"Argentina, SUIPACHA 1111, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.594960019269,",-58.379910019403,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,Chubut",,,,,es,"-43.7128356,",-68.7461817,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,C rdoba",,,,,es,"-31.4173391,",-64.183319,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,Entre R os",,,,,es,"-31.6252842,",-59.3539578,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,La Rioja",,,,,es,"-29.9729781,",-67.0487944,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,Mendoza",,,,,es,"-34.78709305,",-68.43818677,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,Misiones",,,,,es,"-26.737224,",-54.4315257,,,,G1,1,7,
XI-IATI-IADB-AR-L1030,,,G1,,"Argentina,Rosario",,,,,es,"-32.9595004,",-60.6615415,,,,G1,1,7,
XI-IATI-IADB-AR-L1343,,,G1,,"Argentina, BALCARCE 24 PISO 1, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60802078032,",-58.370920132451,,,,G1,1,7,
XI-IATI-IADB-AR-L1347,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 5, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
