activity_identifier,type,iso_date,narrative,narrative_lang
XI-IATI-IADB-AR-L1030,4,2014-03-07,Actual end,
XI-IATI-IADB-AR-L1343,2,2024-12-05,Actual start,
XI-IATI-IADB-AR-L1343,3,2028-06-07,Planned end,
XI-IATI-IADB-AR-L1343,1,2023-09-08,Planned start,
XI-IATI-IADB-AR-L1347,2,2022-10-19,Actual start,
XI-IATI-IADB-AR-L1347,3,2023-10-14,Planned end,
XI-IATI-IADB-AR-L1347,1,2022-10-18,Planned start,
XI-IATI-IADB-AR-L1347,4,2022-10-20,Actual end,
XI-IATI-IADB-AR-L1352,2,2023-12-06,Actual start,
XI-IATI-IADB-AR-L1352,3,2028-03-17,Planned end,
XI-IATI-IADB-AR-L1352,1,2023-11-17,Planned start,
XI-IATI-IADB-AR-L1331,2,2021-11-08,Actual start,
XI-IATI-IADB-AR-L1331,3,2023-09-28,Planned end,
XI-IATI-IADB-AR-L1331,1,2021-11-05,Planned start,
XI-IATI-IADB-AR-L1331,4,2024-09-23,Actual end,
XI-IATI-IADB-AR-L1078,2,2013-12-13,Actual start,
XI-IATI-IADB-AR-L1078,3,2017-08-29,Planned end,
XI-IATI-IADB-AR-L1078,1,2013-07-25,Planned start,
XI-IATI-IADB-AR-L1078,4,2018-02-17,Actual end,
XI-IATI-IADB-AR-L1032,2,2008-12-18,Actual start,
XI-IATI-IADB-AR-L1032,3,2016-04-17,Planned end,
XI-IATI-IADB-AR-L1032,1,2008-12-12,Planned start,
XI-IATI-IADB-AR-L1032,4,2015-12-23,Actual end,
XI-IATI-IADB-AR-L1073,2,2010-05-17,Actual start,
XI-IATI-IADB-AR-L1073,3,2015-03-08,Planned end,
XI-IATI-IADB-AR-L1073,1,2010-05-10,Planned start,
XI-IATI-IADB-AR-L1073,4,2014-07-09,Actual end,
XI-IATI-IADB-AR-L1279,2,2018-10-04,Actual start,
XI-IATI-IADB-AR-L1279,3,2027-03-15,Planned end,
XI-IATI-IADB-AR-L1279,1,2018-08-30,Planned start,
XI-IATI-IADB-AR-L1015,2,2007-10-23,Actual start,
XI-IATI-IADB-AR-L1015,3,2015-03-29,Planned end,
XI-IATI-IADB-AR-L1015,1,2007-08-27,Planned start,
XI-IATI-IADB-AR-L1015,4,2013-04-27,Actual end,
XI-IATI-IADB-AR-L1273,2,2019-04-18,Actual start,
XI-IATI-IADB-AR-L1273,3,2026-12-20,Planned end,
XI-IATI-IADB-AR-L1273,1,2019-03-12,Planned start,
XI-IATI-IADB-AR-L1346,2,2023-07-10,Actual start,
XI-IATI-IADB-AR-L1346,3,2028-01-31,Planned end,
XI-IATI-IADB-AR-L1346,1,2023-06-16,Planned start,
XI-IATI-IADB-AR-L1252,2,2017-12-07,Actual start,
XI-IATI-IADB-AR-L1252,3,2023-09-29,Planned end,
XI-IATI-IADB-AR-L1252,1,2017-12-01,Planned start,
XI-IATI-IADB-AR-L1252,4,2022-06-16,Actual end,
XI-IATI-IADB-AR-L1036,2,2009-03-27,Actual start,
XI-IATI-IADB-AR-L1036,3,2018-06-29,Planned end,
XI-IATI-IADB-AR-L1036,1,2008-10-23,Planned start,
XI-IATI-IADB-AR-L1036,4,2018-06-08,Actual end,
XI-IATI-IADB-AR-L1157,2,2015-06-22,Actual start,
XI-IATI-IADB-AR-L1157,3,2023-03-31,Planned end,
XI-IATI-IADB-AR-L1157,1,2015-06-16,Planned start,
XI-IATI-IADB-AR-L1157,4,2024-01-08,Actual end,
XI-IATI-IADB-AR-L1067,2,2013-12-19,Actual start,
XI-IATI-IADB-AR-L1067,3,2023-05-16,Planned end,
XI-IATI-IADB-AR-L1067,1,2013-10-08,Planned start,
XI-IATI-IADB-AR-L1067,4,2023-04-03,Actual end,
XI-IATI-IADB-AR-L1258,2,2019-02-13,Actual start,
XI-IATI-IADB-AR-L1258,3,2026-01-16,Planned end,
XI-IATI-IADB-AR-L1258,1,2018-12-20,Planned start,
XI-IATI-IADB-AR-L1196,2,2017-10-19,Actual start,
XI-IATI-IADB-AR-L1196,3,2021-05-31,Planned end,
XI-IATI-IADB-AR-L1196,1,2017-09-20,Planned start,
XI-IATI-IADB-AR-L1196,4,2020-10-23,Actual end,
XI-IATI-IADB-AR-L1130,2,2013-12-04,Actual start,
XI-IATI-IADB-AR-L1130,3,2019-05-17,Planned end,
XI-IATI-IADB-AR-L1130,1,2013-10-01,Planned start,
XI-IATI-IADB-AR-L1130,4,2020-02-18,Actual end,
XI-IATI-IADB-AR-L1288,2,2022-04-21,Actual start,
XI-IATI-IADB-AR-L1288,3,2026-06-23,Planned end,
XI-IATI-IADB-AR-L1288,1,2021-06-14,Planned start,
XI-IATI-IADB-AR-L1156,2,2014-12-19,Actual start,
XI-IATI-IADB-AR-L1156,3,2023-10-20,Planned end,
XI-IATI-IADB-AR-L1156,1,2014-12-09,Planned start,
XI-IATI-IADB-AR-L1156,4,2022-07-08,Actual end,
XI-IATI-IADB-AR-L1326,2,2020-12-02,Actual start,
XI-IATI-IADB-AR-L1326,3,2025-08-02,Planned end,
XI-IATI-IADB-AR-L1326,1,2020-12-01,Planned start,
XI-IATI-IADB-AR-L1326,4,2023-06-30,Actual end,
XI-IATI-IADB-AR-L1092,2,2010-11-17,Actual start,
XI-IATI-IADB-AR-L1092,3,2017-04-12,Planned end,
XI-IATI-IADB-AR-L1092,1,2010-09-30,Planned start,
XI-IATI-IADB-AR-L1092,4,2017-11-01,Actual end,
XI-IATI-IADB-AR-L1304,2,2019-05-17,Actual start,
XI-IATI-IADB-AR-L1304,3,2020-05-15,Planned end,
XI-IATI-IADB-AR-L1304,1,2019-05-16,Planned start,
XI-IATI-IADB-AR-L1304,4,2019-05-21,Actual end,
XI-IATI-IADB-AR-L1068,2,2013-10-25,Actual start,
XI-IATI-IADB-AR-L1068,3,2019-12-30,Planned end,
XI-IATI-IADB-AR-L1068,1,2013-08-29,Planned start,
XI-IATI-IADB-AR-L1068,4,2020-12-02,Actual end,
XI-IATI-IADB-AR-L1345,3,2028-04-25,Planned end,
XI-IATI-IADB-AR-L1345,1,2024-02-16,Planned start,
XI-IATI-IADB-AR-L1334,2,2022-10-31,Actual start,
XI-IATI-IADB-AR-L1334,3,2027-02-22,Planned end,
XI-IATI-IADB-AR-L1334,1,2022-08-19,Planned start,
XI-IATI-IADB-AR-L1108,2,2011-06-27,Actual start,
XI-IATI-IADB-AR-L1108,3,2015-09-26,Planned end,
XI-IATI-IADB-AR-L1108,1,2011-05-03,Planned start,
XI-IATI-IADB-AR-L1108,4,2015-06-13,Actual end,
XI-IATI-IADB-AR-L1357,2,2025-04-08,Actual start,
XI-IATI-IADB-AR-L1357,3,2028-08-22,Planned end,
XI-IATI-IADB-AR-L1357,1,2023-12-11,Planned start,
XI-IATI-IADB-AR-L1336,2,2022-12-08,Actual start,
XI-IATI-IADB-AR-L1336,3,2027-09-06,Planned end,
XI-IATI-IADB-AR-L1336,1,2022-11-24,Planned start,
XI-IATI-IADB-AR-L1312,2,2020-04-07,Actual start,
XI-IATI-IADB-AR-L1312,3,2023-03-20,Planned end,
XI-IATI-IADB-AR-L1312,1,2020-04-06,Planned start,
XI-IATI-IADB-AR-L1312,4,2021-12-22,Actual end,
XI-IATI-IADB-AR-L1136,2,2013-10-25,Actual start,
XI-IATI-IADB-AR-L1136,3,2025-10-20,Planned end,
XI-IATI-IADB-AR-L1136,1,2013-10-02,Planned start,
XI-IATI-IADB-AR-L1293,2,2021-04-14,Actual start,
XI-IATI-IADB-AR-L1293,3,2027-11-20,Planned end,
XI-IATI-IADB-AR-L1293,1,2020-02-28,Planned start,
XI-IATI-IADB-AR-L1162,2,2017-06-16,Actual start,
XI-IATI-IADB-AR-L1162,3,2025-10-30,Planned end,
XI-IATI-IADB-AR-L1162,1,2016-05-30,Planned start,
XI-IATI-IADB-AR-L1074,2,2011-12-08,Actual start,
XI-IATI-IADB-AR-L1074,3,2017-12-31,Planned end,
XI-IATI-IADB-AR-L1074,1,2011-09-21,Planned start,
XI-IATI-IADB-AR-L1074,4,2018-11-29,Actual end,
XI-IATI-IADB-AR-L1016,2,2008-07-10,Actual start,
XI-IATI-IADB-AR-L1016,3,2016-12-31,Planned end,
XI-IATI-IADB-AR-L1016,1,2008-04-04,Planned start,
XI-IATI-IADB-AR-L1016,4,2016-12-06,Actual end,
XI-IATI-IADB-AR-L1251,2,2017-11-08,Actual start,
XI-IATI-IADB-AR-L1251,3,2026-07-26,Planned end,
XI-IATI-IADB-AR-L1251,1,2017-10-10,Planned start,
XI-IATI-IADB-AR-L1402,2,2024-08-05,Actual start,
XI-IATI-IADB-AR-L1402,3,2025-08-01,Planned end,
XI-IATI-IADB-AR-L1402,1,2024-08-02,Planned start,
XI-IATI-IADB-AR-L1402,4,2024-08-26,Actual end,
XI-IATI-IADB-AR-L1022,2,2007-06-26,Actual start,
XI-IATI-IADB-AR-L1022,3,2014-11-05,Planned end,
XI-IATI-IADB-AR-L1022,1,2007-05-31,Planned start,
XI-IATI-IADB-AR-L1022,4,2015-01-21,Actual end,
XI-IATI-IADB-AR-L1118,2,2013-06-18,Actual start,
XI-IATI-IADB-AR-L1118,3,2016-06-30,Planned end,
XI-IATI-IADB-AR-L1118,1,2013-03-20,Planned start,
XI-IATI-IADB-AR-L1118,4,2016-12-20,Actual end,
XI-IATI-IADB-AR-L1340,2,2022-10-26,Actual start,
XI-IATI-IADB-AR-L1340,3,2026-09-28,Planned end,
XI-IATI-IADB-AR-L1340,1,2022-10-12,Planned start,
XI-IATI-IADB-AR-L1268,2,2017-12-14,Actual start,
XI-IATI-IADB-AR-L1268,3,2018-11-30,Planned end,
XI-IATI-IADB-AR-L1268,1,2017-12-13,Planned start,
XI-IATI-IADB-AR-L1268,4,2017-12-15,Actual end,
XI-IATI-IADB-AR-L1009,2,2006-06-07,Actual start,
XI-IATI-IADB-AR-L1009,3,2007-12-31,Planned end,
XI-IATI-IADB-AR-L1009,1,2006-06-01,Planned start,
XI-IATI-IADB-AR-L1009,4,2007-11-27,Actual end,
XI-IATI-IADB-AR-L1158,2,2014-07-31,Actual start,
XI-IATI-IADB-AR-L1158,3,2025-12-13,Planned end,
XI-IATI-IADB-AR-L1158,1,2014-07-29,Planned start,
XI-IATI-IADB-AR-L1158,4,2022-05-17,Actual end,
XI-IATI-IADB-AR-L1285,2,2021-04-12,Actual start,
XI-IATI-IADB-AR-L1285,3,2026-09-04,Planned end,
XI-IATI-IADB-AR-L1285,1,2020-03-04,Planned start,
XI-IATI-IADB-AR-L1152,2,2014-01-07,Actual start,
XI-IATI-IADB-AR-L1152,3,2018-10-28,Planned end,
XI-IATI-IADB-AR-L1152,1,2013-12-30,Planned start,
XI-IATI-IADB-AR-L1152,4,2019-04-26,Actual end,
XI-IATI-IADB-AR-L1332,2,2023-03-24,Actual start,
XI-IATI-IADB-AR-L1332,3,2027-06-29,Planned end,
XI-IATI-IADB-AR-L1332,1,2023-02-14,Planned start,
XI-IATI-IADB-AR-L1309,2,2020-06-30,Actual start,
XI-IATI-IADB-AR-L1309,3,2023-04-08,Planned end,
XI-IATI-IADB-AR-L1309,1,2020-06-26,Planned start,
XI-IATI-IADB-AR-L1309,4,2025-03-20,Actual end,
XI-IATI-IADB-AR-L1199,2,2017-12-07,Actual start,
XI-IATI-IADB-AR-L1199,3,2025-11-13,Planned end,
XI-IATI-IADB-AR-L1199,1,2017-11-30,Planned start,
XI-IATI-IADB-AR-L1180,2,2016-12-16,Actual start,
XI-IATI-IADB-AR-L1180,3,2023-05-19,Planned end,
XI-IATI-IADB-AR-L1180,1,2016-11-10,Planned start,
XI-IATI-IADB-AR-L1180,4,2022-11-29,Actual end,
XI-IATI-IADB-AR-L1119,2,2012-12-18,Actual start,
XI-IATI-IADB-AR-L1119,3,2019-07-30,Planned end,
XI-IATI-IADB-AR-L1119,1,2012-11-14,Planned start,
XI-IATI-IADB-AR-L1119,4,2017-12-23,Actual end,
XI-IATI-IADB-AR-L1127,2,2013-03-15,Actual start,
XI-IATI-IADB-AR-L1127,3,2018-07-28,Planned end,
XI-IATI-IADB-AR-L1127,1,2013-02-28,Planned start,
XI-IATI-IADB-AR-L1127,4,2018-11-30,Actual end,
XI-IATI-IADB-AR-L1255,2,2018-05-23,Actual start,
XI-IATI-IADB-AR-L1255,3,2025-11-03,Planned end,
XI-IATI-IADB-AR-L1255,1,2018-05-02,Planned start,
XI-IATI-IADB-AR-L1255,4,2023-09-26,Actual end,
XI-IATI-IADB-AR-L1366,2,2023-06-27,Actual start,
XI-IATI-IADB-AR-L1366,3,2026-06-08,Planned end,
XI-IATI-IADB-AR-L1366,1,2023-06-23,Planned start,
XI-IATI-IADB-AR-L1333,2,2022-09-16,Actual start,
XI-IATI-IADB-AR-L1333,3,2027-01-17,Planned end,
XI-IATI-IADB-AR-L1333,1,2022-07-29,Planned start,
XI-IATI-IADB-AR-L1031,2,2009-07-01,Actual start,
XI-IATI-IADB-AR-L1031,3,2019-06-30,Planned end,
XI-IATI-IADB-AR-L1031,1,2008-11-18,Planned start,
XI-IATI-IADB-AR-L1031,4,2020-03-19,Actual end,
XI-IATI-IADB-AR-L1283,2,2018-08-23,Actual start,
XI-IATI-IADB-AR-L1283,3,2019-08-21,Planned end,
XI-IATI-IADB-AR-L1283,1,2018-08-22,Planned start,
XI-IATI-IADB-AR-L1283,4,2018-08-25,Actual end,
XI-IATI-IADB-AR-L1292,2,2020-08-27,Actual start,
XI-IATI-IADB-AR-L1292,3,2027-03-20,Planned end,
XI-IATI-IADB-AR-L1292,1,2020-06-17,Planned start,
XI-IATI-IADB-AR-L1045,2,2010-12-02,Actual start,
XI-IATI-IADB-AR-L1045,3,2017-03-29,Planned end,
XI-IATI-IADB-AR-L1045,1,2010-11-30,Planned start,
XI-IATI-IADB-AR-L1045,4,2015-06-26,Actual end,
XI-IATI-IADB-AR-L1410,2,2025-05-30,Actual start,
XI-IATI-IADB-AR-L1410,3,2028-02-20,Planned end,
XI-IATI-IADB-AR-L1410,1,2025-05-27,Planned start,
XI-IATI-IADB-AR-L1121,2,2015-08-20,Actual start,
XI-IATI-IADB-AR-L1121,3,2025-12-10,Planned end,
XI-IATI-IADB-AR-L1121,1,2015-06-17,Planned start,
XI-IATI-IADB-AR-L1144,2,2014-11-06,Actual start,
XI-IATI-IADB-AR-L1144,3,2023-03-26,Planned end,
XI-IATI-IADB-AR-L1144,1,2014-07-29,Planned start,
XI-IATI-IADB-AR-L1144,4,2022-07-01,Actual end,
XI-IATI-IADB-AR0290,2,2005-02-07,Actual start,
XI-IATI-IADB-AR0290,3,2006-12-28,Planned end,
XI-IATI-IADB-AR0290,1,2005-01-27,Planned start,
XI-IATI-IADB-AR0290,4,2006-10-31,Actual end,
