activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-928-AR-2022-23-04.001.AM01.ARG01,12350,,1,,10.0000000000
XM-DAC-928-AR-2022-23-04.001.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.001.AM01.ARG03,12110,,1,,95.0000000000
XM-DAC-928-AR-2022-23-04.001.AM01.ARG03,12250,,1,,5.0000000000
XM-DAC-928-AR-2022-23-04.002.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.002.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.002.AM01.ARG03,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.002.AM01.ARG04,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.002.AM01.ARG06,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.003.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.003.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.003.AM01.ARG03,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-04.003.AM01.ARG04,12110,,1,,100.0000000000
XM-DAC-928-AR-2022-23-13.002.AM01.ARG02,74020,,1,,100.0000000000
XM-DAC-928-AR-2022-23-13.003.AM01.ARG02,72010,,1,,100.0000000000
XM-DAC-928-AR-2022-23-14.003.AM01.ARG01,12250,,1,,100.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12110,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12250,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12262,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12263,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12281,,1,,30.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12340,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,12350,,1,,15.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,13020,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,13040,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,12250,,1,,30.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,12262,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,12263,,1,,25.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,12281,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,12340,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,12350,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,13020,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,13040,,1,,15.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG03,12220,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG03,12250,,1,,50.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG03,12281,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG03,13020,,1,,35.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG04,12110,,1,,70.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG04,12220,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG04,12250,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG04,12263,,1,,5.0000000000
