activity_identifier,url,format,title,description,category_code,language_code,document_date
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,http://open.who.int/2016-17/country-programme/ARG/06.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,http://open.who.int/2016-17/country-programme/ARG/06.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,http://open.who.int/2016-17/country-programme/ARG/06.004,text/html,Budget,,A05,en,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,http://open.who.int/2016-17/country-programme/ARG/06.004,text/html,Budget,,A05,en,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG03,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG03,http://open.who.int/2016-17/country-programme/ARG/06.004,text/html,Budget,,A05,en,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG04,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG04,http://open.who.int/2016-17/country-programme/ARG/06.004,text/html,Budget,,A05,en,
XM-DAC-928-AR-2016-17-06.005.AM01.ARG02,http://iris.paho.org/xmlui/bitstream/handle/123456789/3604/2012-ARG-estrategia-cooperacion-argentina.pdf,application/pdf,Country Cooperation Strategy Argentina (2012-2016),,B03,es,
XM-DAC-928-AR-2016-17-06.005.AM01.ARG02,http://open.who.int/2016-17/country-programme/ARG/06.005,text/html,Budget,,A05,en,
