activity_identifier,type,iso_date,narrative,narrative_lang
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.004.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-04.004.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
